id,name,party,sector,type
UvdL,Ursula von der Leyen,CDU,Politik,1
LK,Lars Klingbeil,SPD,Politik,1
NR,Norbert Röttgen,CDU,Politik,1
SW,Sahra Wagenknecht,Die Linke,Politik,1
CS,Constanze Stelzenmüller,,Journalismus,1
CL,Christian Lindner,FDP,Politik,1
KS,Karl Schlögel,,Historik,1
LM,Ljudmyla Melnyk,,Wissenschaft,1
KD,Kristina Dunz,,Journalismus,1
EL,Egils Levits,,Politik,1
AB,Annalena Baerbock,Buendnis 90/​Die Gruenen,Politik,1
FT,Frans Timmermans,,Politik,1
AM,Andrij Melnyk,,Politik,1
AGL,Alexander Graf Lambsdorff,FDP,Politik,1
EG,Egon Ramms,,Bundeswehr,1
RH,Robert Habeck,Buendnis 90/​Die Gruenen,Politik,1
CM,Claudia Major,,Wissenschaft,1
KP,Katja Petrowskaja,,Wissenschaft,1
RK,Roderich Kiesewetter,CDU,Politik,1
CLA,Christine Lambrecht,SPD,Politik,1
SB,Stefanie Babst,,Politik,1
CH,Christoph Heusgen,,Politik,1
MW,Marina Weisband,,Publizistik,1
500,Folge 500,,,2
501,Folge 501,,,2
502,Folge 502,,,2
503,Folge 503,,,2
504,Folge 504,,,2